day_interval rew_cluster_1_and_prob rew_cluster_2_and_prob
0 (1,0.8) (0,0.19999999999999996)
1 (1,0.8) (0,0.19999999999999996)
2 (1,0.8) (0,0.19999999999999996)
3 (1,0.825) (0,0.17500000000000004)
4 (1,0.825) (0,0.17500000000000004)
5 (1,0.825) (0,0.17500000000000004)
6 (1,0.825) (0,0.17500000000000004)
7 (1,0.825) (0,0.17500000000000004)
8 (1,0.825) (0,0.17500000000000004)
9 (1,0.85) (0,0.15000000000000002)
10 (1,0.85) (0,0.15000000000000002)
11 (1,0.85) (0,0.15000000000000002)
12 (1,0.85) (0,0.15000000000000002)
13 (1,0.85) (0,0.15000000000000002)
14 (1,0.85) (0,0.15000000000000002)
15 (1,0.875) (0,0.125)
16 (1,0.875) (0,0.125)
17 (1,0.875) (0,0.125)
18 (1,0.875) (0,0.125)
19 (1,0.875) (0,0.125)
20 (1,0.875) (0,0.125)
21 (1,0.875) (0,0.125)
22 (1,0.85) (0,0.15000000000000002)
23 (1,0.85) (0,0.15000000000000002)
24 (1,0.85) (0,0.15000000000000002)
25 (1,0.85) (0,0.15000000000000002)
26 (1,0.85) (0,0.15000000000000002)
27 (1,0.85) (0,0.15000000000000002)
28 (1,0.825) (0,0.17500000000000004)
29 (1,0.825) (0,0.17500000000000004)
30 (1,0.825) (0,0.17500000000000004)
31 (1,0.825) (0,0.17500000000000004)
32 (1,0.825) (0,0.17500000000000004)
33 (1,0.825) (0,0.17500000000000004)
34 (1,0.8) (0,0.19999999999999996)
35 (1,0.8) (0,0.19999999999999996)
36 (1,0.8) (0,0.19999999999999996)
37 (1,0.8) (0,0.19999999999999996)
38 (1,0.8) (0,0.19999999999999996)
39 (1,0.8) (0,0.19999999999999996)
40 (1,0.8) (0,0.19999999999999996)
41 (1,0.8) (0,0.19999999999999996)
42 (1,0.825) (0,0.17500000000000004)
43 (1,0.825) (0,0.17500000000000004)
44 (1,0.825) (0,0.17500000000000004)
45 (1,0.825) (0,0.17500000000000004)
46 (1,0.825) (0,0.17500000000000004)
47 (1,0.825) (0,0.17500000000000004)
48 (1,0.85) (0,0.15000000000000002)
49 (1,0.85) (0,0.15000000000000002)
50 (1,0.85) (0,0.15000000000000002)
51 (1,0.85) (0,0.15000000000000002)
52 (1,0.85) (0,0.15000000000000002)
53 (1,0.85) (0,0.15000000000000002)
54 (1,0.875) (0,0.125)
55 (1,0.875) (0,0.125)
56 (1,0.875) (0,0.125)
57 (1,0.875) (0,0.125)
58 (1,0.875) (0,0.125)
59 (1,0.875) (0,0.125)
60 (1,0.875) (0,0.125)
61 (1,0.85) (0,0.15000000000000002)
62 (1,0.85) (0,0.15000000000000002)
63 (1,0.85) (0,0.15000000000000002)
64 (1,0.85) (0,0.15000000000000002)
65 (1,0.85) (0,0.15000000000000002)
66 (1,0.85) (0,0.15000000000000002)
67 (1,0.825) (0,0.17500000000000004)
68 (1,0.825) (0,0.17500000000000004)
69 (1,0.825) (0,0.17500000000000004)
70 (1,0.825) (0,0.17500000000000004)
71 (1,0.825) (0,0.17500000000000004)
72 (1,0.825) (0,0.17500000000000004)
73 (1,0.8) (0,0.19999999999999996)
74 (1,0.8) (0,0.19999999999999996)
75 (1,0.8) (0,0.19999999999999996)
76 (1,0.8) (0,0.19999999999999996)
77 (1,0.8) (0,0.19999999999999996)
78 (1,0.8) (0,0.19999999999999996)
79 (1,0.8) (0,0.19999999999999996)
80 (1,0.8) (0,0.19999999999999996)
81 (1,0.825) (0,0.17500000000000004)
82 (1,0.825) (0,0.17500000000000004)
83 (1,0.825) (0,0.17500000000000004)
84 (1,0.825) (0,0.17500000000000004)
85 (1,0.825) (0,0.17500000000000004)
86 (1,0.825) (0,0.17500000000000004)
87 (1,0.85) (0,0.15000000000000002)
88 (1,0.85) (0,0.15000000000000002)
89 (1,0.85) (0,0.15000000000000002)
90 (1,0.85) (0,0.15000000000000002)
91 (1,0.85) (0,0.15000000000000002)
92 (1,0.85) (0,0.15000000000000002)
93 (1,0.875) (0,0.125)
94 (1,0.875) (0,0.125)
95 (1,0.875) (0,0.125)
96 (1,0.875) (0,0.125)
97 (1,0.875) (0,0.125)
98 (1,0.875) (0,0.125)
99 (1,0.875) (0,0.125)
100 (1,0.85) (0,0.15000000000000002)
101 (1,0.85) (0,0.15000000000000002)
102 (1,0.85) (0,0.15000000000000002)
103 (1,0.85) (0,0.15000000000000002)
104 (1,0.85) (0,0.15000000000000002)
105 (1,0.85) (0,0.15000000000000002)
106 (1,0.825) (0,0.17500000000000004)
107 (1,0.825) (0,0.17500000000000004)
108 (1,0.825) (0,0.17500000000000004)
109 (1,0.825) (0,0.17500000000000004)
110 (1,0.825) (0,0.17500000000000004)
111 (1,0.825) (0,0.17500000000000004)
112 (1,0.8) (0,0.19999999999999996)
113 (1,0.8) (0,0.19999999999999996)
114 (1,0.8) (0,0.19999999999999996)
115 (1,0.8) (0,0.19999999999999996)
116 (1,0.8) (0,0.19999999999999996)
117 (1,0.8) (0,0.19999999999999996)
118 (1,0.8) (0,0.19999999999999996)
119 (1,0.8) (0,0.19999999999999996)
120 (1,0.825) (0,0.17500000000000004)
121 (1,0.825) (0,0.17500000000000004)
122 (1,0.825) (0,0.17500000000000004)
123 (1,0.825) (0,0.17500000000000004)
124 (1,0.825) (0,0.17500000000000004)
125 (1,0.825) (0,0.17500000000000004)
126 (1,0.85) (0,0.15000000000000002)
127 (1,0.85) (0,0.15000000000000002)
128 (1,0.85) (0,0.15000000000000002)
129 (1,0.85) (0,0.15000000000000002)
130 (1,0.85) (0,0.15000000000000002)
131 (1,0.85) (0,0.15000000000000002)
132 (1,0.875) (0,0.125)
133 (1,0.875) (0,0.125)
134 (1,0.875) (0,0.125)
135 (1,0.875) (0,0.125)
136 (1,0.875) (0,0.125)
137 (1,0.875) (0,0.125)
138 (1,0.875) (0,0.125)
139 (1,0.85) (0,0.15000000000000002)
140 (1,0.85) (0,0.15000000000000002)
141 (1,0.85) (0,0.15000000000000002)
142 (1,0.85) (0,0.15000000000000002)
143 (1,0.85) (0,0.15000000000000002)
144 (1,0.85) (0,0.15000000000000002)
145 (1,0.825) (0,0.17500000000000004)
146 (1,0.825) (0,0.17500000000000004)
147 (1,0.825) (0,0.17500000000000004)
148 (1,0.825) (0,0.17500000000000004)
149 (1,0.825) (0,0.17500000000000004)
150 (1,0.825) (0,0.17500000000000004)
151 (1,0.8) (0,0.19999999999999996)
152 (1,0.8) (0,0.19999999999999996)
153 (1,0.8) (0,0.19999999999999996)
154 (1,0.8) (0,0.19999999999999996)
155 (1,0.8) (0,0.19999999999999996)
156 (1,0.8) (0,0.19999999999999996)
157 (1,0.8) (0,0.19999999999999996)
158 (1,0.8) (0,0.19999999999999996)
159 (1,0.825) (0,0.17500000000000004)
160 (1,0.825) (0,0.17500000000000004)
161 (1,0.825) (0,0.17500000000000004)
162 (1,0.825) (0,0.17500000000000004)
163 (1,0.825) (0,0.17500000000000004)
164 (1,0.825) (0,0.17500000000000004)
165 (1,0.85) (0,0.15000000000000002)
166 (1,0.85) (0,0.15000000000000002)
167 (1,0.85) (0,0.15000000000000002)
168 (1,0.85) (0,0.15000000000000002)
169 (1,0.85) (0,0.15000000000000002)
170 (1,0.85) (0,0.15000000000000002)
171 (1,0.875) (0,0.125)
172 (1,0.875) (0,0.125)
173 (1,0.875) (0,0.125)
174 (1,0.875) (0,0.125)
175 (1,0.875) (0,0.125)
176 (1,0.875) (0,0.125)
177 (1,0.875) (0,0.125)
178 (1,0.85) (0,0.15000000000000002)
179 (1,0.85) (0,0.15000000000000002)
180 (1,0.85) (0,0.15000000000000002)
181 (1,0.85) (0,0.15000000000000002)
182 (1,0.85) (0,0.15000000000000002)
183 (1,0.85) (0,0.15000000000000002)
184 (1,0.825) (0,0.17500000000000004)
185 (1,0.825) (0,0.17500000000000004)
186 (1,0.825) (0,0.17500000000000004)
187 (1,0.825) (0,0.17500000000000004)
188 (1,0.825) (0,0.17500000000000004)
189 (1,0.825) (0,0.17500000000000004)
190 (1,0.8) (0,0.19999999999999996)
191 (1,0.8) (0,0.19999999999999996)
192 (1,0.8) (0,0.19999999999999996)
193 (1,0.8) (0,0.19999999999999996)
194 (1,0.8) (0,0.19999999999999996)
195 (1,0.8) (0,0.19999999999999996)
196 (1,0.8) (0,0.19999999999999996)
197 (1,0.8) (0,0.19999999999999996)
198 (1,0.825) (0,0.17500000000000004)
199 (1,0.825) (0,0.17500000000000004)
200 (1,0.825) (0,0.17500000000000004)
201 (1,0.825) (0,0.17500000000000004)
202 (1,0.825) (0,0.17500000000000004)
203 (1,0.825) (0,0.17500000000000004)
204 (1,0.85) (0,0.15000000000000002)
205 (1,0.85) (0,0.15000000000000002)
206 (1,0.85) (0,0.15000000000000002)
207 (1,0.85) (0,0.15000000000000002)
208 (1,0.85) (0,0.15000000000000002)
209 (1,0.85) (0,0.15000000000000002)
210 (1,0.875) (0,0.125)
211 (1,0.875) (0,0.125)
212 (1,0.875) (0,0.125)
213 (1,0.875) (0,0.125)
214 (1,0.875) (0,0.125)
215 (1,0.875) (0,0.125)
216 (1,0.875) (0,0.125)
217 (1,0.85) (0,0.15000000000000002)
218 (1,0.85) (0,0.15000000000000002)
219 (1,0.85) (0,0.15000000000000002)
220 (1,0.85) (0,0.15000000000000002)
221 (1,0.85) (0,0.15000000000000002)
222 (1,0.85) (0,0.15000000000000002)
223 (1,0.825) (0,0.17500000000000004)
224 (1,0.825) (0,0.17500000000000004)
225 (1,0.825) (0,0.17500000000000004)
226 (1,0.825) (0,0.17500000000000004)
227 (1,0.825) (0,0.17500000000000004)
228 (1,0.825) (0,0.17500000000000004)
229 (1,0.8) (0,0.19999999999999996)
230 (1,0.8) (0,0.19999999999999996)
231 (1,0.8) (0,0.19999999999999996)
232 (1,0.8) (0,0.19999999999999996)
233 (1,0.8) (0,0.19999999999999996)
234 (1,0.8) (0,0.19999999999999996)
235 (1,0.8) (0,0.19999999999999996)
236 (1,0.8) (0,0.19999999999999996)
237 (1,0.825) (0,0.17500000000000004)
238 (1,0.825) (0,0.17500000000000004)
239 (1,0.825) (0,0.17500000000000004)
240 (1,0.825) (0,0.17500000000000004)
241 (1,0.825) (0,0.17500000000000004)
242 (1,0.825) (0,0.17500000000000004)
243 (1,0.85) (0,0.15000000000000002)
244 (1,0.85) (0,0.15000000000000002)
245 (1,0.85) (0,0.15000000000000002)
246 (1,0.85) (0,0.15000000000000002)
247 (1,0.85) (0,0.15000000000000002)
248 (1,0.85) (0,0.15000000000000002)
249 (1,0.875) (0,0.125)
250 (1,0.875) (0,0.125)
251 (1,0.875) (0,0.125)
252 (1,0.875) (0,0.125)
253 (1,0.875) (0,0.125)
254 (1,0.875) (0,0.125)
255 (1,0.875) (0,0.125)
256 (1,0.85) (0,0.15000000000000002)
257 (1,0.85) (0,0.15000000000000002)
258 (1,0.85) (0,0.15000000000000002)
259 (1,0.85) (0,0.15000000000000002)
