time,sim2real,rid,cid,gid,mode,battery,critical
72.0,0.5,2,300,0,0,42.0,False
72.0,0.5,3,-1,-1,1,40.0,False
72.0,0.5,4,-1,-1,1,29.375,False
72.0,0.5,5,-1,-1,1,26.5,False
72.0,0.5,6,-1,-1,1,37.125,False
75.0,0.5,0,-1,-1,1,28.0,False
75.0,0.5,1,-1,-1,1,30.75,False
75.0,0.5,2,-1,-1,1,39.5,False
75.0,0.5,3,-1,-1,1,37.5,False
75.0,0.5,4,-1,-1,1,26.875,False
75.0,0.5,5,300,0,0,41.5,False
75.0,0.5,6,-1,-1,1,34.625,False
78.0,0.5,0,-1,-1,1,25.5,False
78.0,0.5,1,-1,-1,1,28.25,False
78.0,0.5,2,-1,-1,1,37.0,False
78.0,0.5,3,-1,-1,1,35.0,False
78.0,0.5,4,300,0,0,41.875,False
78.0,0.5,5,-1,-1,1,39.0,False
78.0,0.5,6,-1,-1,1,32.125,False
81.0,0.5,0,300,0,0,40.5,False
81.0,0.5,1,-1,-1,1,25.75,False
81.0,0.5,2,-1,-1,1,34.5,False
81.0,0.5,3,-1,-1,1,32.5,False
81.0,0.5,4,-1,-1,1,39.375,False
81.0,0.5,5,-1,-1,1,36.5,False
81.0,0.5,6,-1,-1,1,29.625,False
84.0,0.5,0,-1,-1,1,38.0,False
84.0,0.5,1,300,0,0,40.75,False
84.0,0.5,2,-1,-1,1,32.0,False
84.0,0.5,3,-1,-1,1,30.0,False
84.0,0.5,4,-1,-1,1,36.875,False
84.0,0.5,5,-1,-1,1,34.0,False
84.0,0.5,6,-1,-1,1,27.125,False
87.0,0.5,0,-1,-1,1,35.5,False
87.0,0.5,1,-1,-1,1,38.25,False
87.0,0.5,2,-1,-1,1,29.5,False
87.0,0.5,3,-1,-1,1,27.5,False
87.0,0.5,4,-1,-1,1,34.375,False
87.0,0.5,5,-1,-1,1,31.5,False
87.0,0.5,6,300,0,0,42.125,False
90.0,0.5,0,-1,-1,1,33.0,False
90.0,0.5,1,-1,-1,1,35.75,False
90.0,0.5,2,-1,-1,1,27.0,False
90.0,0.5,3,300,0,0,42.5,False
90.0,0.5,4,-1,-1,1,31.875,False
90.0,0.5,5,-1,-1,1,29.0,False
90.0,0.5,6,-1,-1,1,39.625,False
93.0,0.5,0,-1,-1,1,30.5,False
93.0,0.5,1,-1,-1,1,33.25,False
93.0,0.5,2,300,0,0,42.0,False
93.0,0.5,3,-1,-1,1,40.0,False
93.0,0.5,4,-1,-1,1,29.375,False
93.0,0.5,5,-1,-1,1,26.5,False
93.0,0.5,6,-1,-1,1,37.125,False
96.0,0.5,0,-1,-1,1,28.0,False
96.0,0.5,1,-1,-1,1,30.75,False
96.0,0.5,2,-1,-1,1,39.5,False
96.0,0.5,3,-1,-1,1,37.5,False
96.0,0.5,4,-1,-1,1,26.875,False
96.0,0.5,5,300,0,0,41.5,False
96.0,0.5,6,-1,-1,1,34.625,False
99.0,0.5,0,-1,-1,1,25.5,False
99.0,0.5,1,-1,-1,1,28.25,False
99.0,0.5,2,-1,-1,1,37.0,False
99.0,0.5,3,-1,-1,1,35.0,False
99.0,0.5,4,300,0,0,41.875,False
99.0,0.5,5,-1,-1,1,39.0,False
99.0,0.5,6,-1,-1,1,32.125,False
102.0,0.5,0,300,0,0,40.5,False
102.0,0.5,1,-1,-1,1,25.75,False
102.0,0.5,2,-1,-1,1,34.5,False
102.0,0.5,3,-1,-1,1,32.5,False
102.0,0.5,4,-1,-1,1,39.375,False
102.0,0.5,5,-1,-1,1,36.5,False
102.0,0.5,6,-1,-1,1,29.625,False
105.0,0.5,0,-1,-1,1,38.0,False
105.0,0.5,1,300,0,0,40.75,False
105.0,0.5,2,-1,-1,1,32.0,False
105.0,0.5,3,-1,-1,1,30.0,False
105.0,0.5,4,-1,-1,1,36.875,False
105.0,0.5,5,-1,-1,1,34.0,False
105.0,0.5,6,-1,-1,1,27.125,False
108.0,0.5,0,-1,-1,1,35.5,False
108.0,0.5,1,-1,-1,1,38.25,False
108.0,0.5,2,-1,-1,1,29.5,False
108.0,0.5,3,-1,-1,1,27.5,False
108.0,0.5,4,-1,-1,1,34.375,False
108.0,0.5,5,-1,-1,1,31.5,False
108.0,0.5,6,300,0,0,42.125,False
111.0,0.5,0,-1,-1,1,33.0,False
111.0,0.5,1,-1,-1,1,35.75,False
111.0,0.5,2,-1,-1,1,27.0,False
111.0,0.5,3,300,0,0,42.5,False
111.0,0.5,4,-1,-1,1,31.875,False
111.0,0.5,5,-1,-1,1,29.0,False
111.0,0.5,6,-1,-1,1,39.625,False
114.0,0.5,0,-1,-1,1,30.5,False
114.0,0.5,1,-1,-1,1,33.25,False
114.0,0.5,2,300,0,0,42.0,False
114.0,0.5,3,-1,-1,1,40.0,False
114.0,0.5,4,-1,-1,1,29.375,False
114.0,0.5,5,-1,-1,1,26.5,False
114.0,0.5,6,-1,-1,1,37.125,False
117.0,0.5,0,-1,-1,1,28.0,False
117.0,0.5,1,-1,-1,1,30.75,False
117.0,0.5,2,-1,-1,1,39.5,False
117.0,0.5,3,-1,-1,1,37.5,False
117.0,0.5,4,-1,-1,1,26.875,False
117.0,0.5,5,300,0,0,41.5,False
117.0,0.5,6,-1,-1,1,34.625,False
120.0,0.5,0,-1,-1,1,25.5,False
120.0,0.5,1,-1,-1,1,28.25,False
120.0,0.5,2,-1,-1,1,37.0,False
120.0,0.5,3,-1,-1,1,35.0,False
120.0,0.5,4,300,0,0,41.875,False
120.0,0.5,5,-1,-1,1,39.0,False
120.0,0.5,6,-1,-1,1,32.125,False
123.0,0.5,0,300,0,0,40.5,False
