,0,1,2
0,-5.0,-5.0,1.0
1,-5.0,-2.5,1.0
2,-5.0,0.0,1.0
3,-5.0,2.5,1.0
4,-5.0,5.0,0.0
5,-2.5,-5.0,0.0
6,-2.5,-2.5,0.0
7,-2.5,0.0,0.0
8,-2.5,5.0,0.0
9,0.0,-5.0,0.0
10,0.0,0.0,0.0
11,0.0,2.5,0.0
12,0.0,5.0,0.0
13,2.5,-5.0,0.0
14,2.5,-2.5,0.0
15,2.5,0.0,0.0
16,2.5,5.0,0.0
17,5.0,-5.0,0.0
18,5.0,-2.5,0.0
19,5.0,0.0,0.0
20,5.0,2.5,0.0
21,5.0,5.0,0.0
